,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
60630,153400,152800,152400,151500,150300,149300,148700,148500,148800,149700,150400,150300,150000,150200,150300,150600,151300,152000,152600,153100,153800,154400,154800,155500,156200,156900,157500,158000,158300,158600,159700,161100,162100,163200,165200,167400,169400,170600,171400,172100,173800,176200,178700,181000,183300,185200,187000,189100,191500,193700,195600,197400,199000,201100,203800,206500,208800,211100,213500,216000,218300,220400,221900,223400,225700,228500,230800,232800,234500,236000,237200,238600,239700,241000,243300,246200,248300,250000,251900,253900,256000,258300,260800,262900,264700,267700,270900,274200,277800,280100,279900,279300,280000,282100,284400,286600,289700,294300,299400,303400,306000,307800,309900,312600,316100,319200,321800,324600,327900,330600,333300,337000,340200,342500,345100,347400,349100,351000,353500,355400,355400,354100,352500,351100,350000,349700,349900,349600,349000,348700,348300,348500,348900,347800,346300,345100,343100,341000,339800,338400,336700,334500,331200,326700,322500,317500,311600,306200,303200,301200,299600,296900,295000,293400,289800,284200,279700,276600,274200,270900,267500,265100,262900,262100,258300,252200,248300,247000,244500,243400,242900,242500,241900,240500,238200,236800,236700,237400,236700,233300,228700,225500,223500,221300,218600,217000,216100,214300,212600,212300,214000,217300,220800,221600,220500,219600,219100,217600,216100,215800,216000,216100,216400,217400,219300,221800,225000,228500,231700,234700,237600,239800,241500,242800,243400,244300,246400,248800,250300,252100,254500,256900,258200,258300,258400,258000,257200,258200,260900,263400,264100,263400,262700,262600,263100,263600,265000,266200,268300,270400,272500,272900,274400,275800,276900,277500,278100,277200,277000,278200,279500,279600,279500,279700,281100,283400,285500,287000
60643,86600,86700,86600,86300,86000,85700,85500,85100,84500,84300,84600,85100,85300,85600,86000,86800,87800,88900,89900,90900,92000,92900,93700,94400,94800,95200,95300,94600,93700,93400,93700,93900,94200,94800,95400,95300,94900,95000,95700,96400,97100,97500,97700,98400,99300,100100,101100,102200,103300,104200,104900,105500,105700,105500,105700,106100,106400,106800,107300,108200,109400,110400,111200,111800,112300,112500,112900,113600,114600,115700,117100,118400,118900,118800,118900,119300,119700,120400,121700,123100,124800,126400,127300,128300,129400,130500,131600,133100,134700,135400,134600,133600,132800,132200,131900,131500,131700,132900,135000,137300,139500,141800,143600,144400,144900,145800,146900,148300,150000,151400,151900,152100,152800,154400,156400,158700,161100,162700,163500,164400,165800,166600,166400,166400,166800,167100,167600,168900,170300,171700,172600,172200,171500,171200,171600,172100,172300,172000,172300,172600,172700,172900,173900,173400,172000,171600,172100,172000,171700,170800,169000,166800,164400,161700,158900,156700,155300,154200,152800,151000,148600,146500,145400,144800,142900,141300,140600,140600,140400,140000,138900,137300,136200,136400,137000,137000,137100,136800,135800,135100,134000,131200,127800,126200,126300,127100,127800,128000,127700,127100,127100,127500,127100,126400,127400,129800,131700,132300,131500,130300,129800,129900,130100,130800,132900,136300,140400,143600,145100,144900,143400,141200,140000,140800,142000,142100,141700,140900,139800,138000,135700,133600,133100,134200,135200,134600,132900,131400,130700,130800,131500,132100,132400,132200,132500,133700,135800,137500,137900,138500,141000,144700,144300,140700,139200,140100,140200,140800,143000,145200,148200,151600,152900,151500,150400,151400,152500,152800
60411,82100,81700,81100,80900,80800,80700,80600,81100,81700,81900,82000,82300,82400,82300,82200,81700,81200,80800,80600,80600,81100,81500,81900,82300,82800,83100,83400,83700,84600,85200,85500,85600,85800,85800,85700,85700,85700,85600,85900,86300,86600,87100,87700,87900,88000,88600,89100,89600,90500,91200,91800,92800,94000,94100,94200,94800,95100,95000,95000,94900,94800,95200,95800,96200,96800,97800,98600,98900,99400,100000,100600,101100,101500,101300,101100,100700,100400,100600,101600,103000,104300,105200,106000,107200,108300,109900,111600,112700,113000,113000,112200,111000,110000,109500,109500,110000,110600,111000,111300,112100,113100,114100,115200,116500,117800,119100,120100,121000,122000,122700,123300,124000,125000,125800,126400,127300,128400,129300,129900,130500,131600,132700,133400,133500,133300,133400,134100,134500,134400,134700,135500,136200,136000,135500,135400,135500,135800,136200,136700,137400,137300,136400,135500,134400,133300,132600,131700,130400,129600,129400,129100,128000,125800,122400,119300,117500,115700,113600,112200,111600,111200,110400,109100,107100,108100,111500,112500,110200,109400,109600,109200,108000,105400,102100,99700,98300,96400,95300,95300,95400,94300,92600,91000,90200,90300,90300,89400,88600,88100,87100,86700,87100,86900,86500,85500,84000,82700,81700,81300,81500,81400,81200,81100,80800,81100,82400,84000,85300,85900,86900,88600,89500,89300,88400,87600,86900,85700,84800,84500,85000,86200,86900,86400,85900,86000,85700,85100,85400,86100,86300,86000,86000,86300,86400,85800,85200,84400,83300,83200,84300,85600,86400,87500,88400,89100,89400,90000,90700,91800,92700,92800,93100,93700,94200,94500,94500,94000,93600
60804,99600,98200,97600,97000,96400,96200,96200,96200,96200,96600,96900,97300,97800,98200,98700,99600,100500,100700,100400,100200,100600,101000,101000,101000,101000,100900,101000,101400,102000,102600,102700,102400,101600,101100,101100,101400,101900,102300,103000,104100,105100,106300,107700,108900,109700,110400,110900,111300,112300,113400,113700,113800,114700,115700,116500,117600,118900,119900,120800,121700,122800,124000,125100,126000,126700,127700,129200,130900,132400,133800,135400,136500,137200,138000,139300,141100,142600,143200,144100,145500,147000,148600,151000,154000,156700,159500,162500,164900,166700,168300,168700,168700,169500,170800,171700,172900,174400,175500,176100,176700,177600,179200,181400,184600,188400,191200,192800,194200,195800,197600,199600,201500,203500,205500,207400,208700,209700,211300,213300,214900,216500,217800,218900,219800,220000,220500,221900,223000,222300,221300,220800,220300,219500,218300,216100,214000,212300,211000,210000,209100,207400,204800,203200,202800,202300,200500,197800,194600,191500,187600,182600,178300,174300,169400,164100,159800,155400,150900,146000,141300,137600,135600,134200,132900,132400,133100,131500,126900,123700,123300,123500,123200,122500,120600,117200,114300,113200,112900,113100,112600,109900,105600,101600,98100,96200,95400,94800,93500,91700,89600,88600,88900,90400,92300,93700,93500,92400,92100,93500,94400,93600,92100,91400,91400,91500,92400,95600,100600,103800,104500,104900,105400,105800,106600,106700,106400,106300,106000,106000,108200,111500,114300,115700,116800,117900,119000,120600,123700,126500,128200,128800,129700,131400,133100,134000,134400,135400,137200,139700,142200,145400,148200,150400,150400,148900,147600,147800,149100,151600,153900,155800,156900,156800,157200,157800,157600,157700,158300
60632,98300,98900,99500,99800,100000,100400,101000,101600,102400,103200,103700,103800,103800,103200,102100,101200,100800,100600,100800,101300,102000,102900,103700,104000,103900,104000,104200,104400,104400,104800,105500,106100,106600,107200,107800,108600,109400,110000,110800,111500,112100,112800,113700,114400,115100,115900,116800,117400,118300,119400,120200,120900,121700,122500,123200,124100,125200,126000,127100,128500,129900,130900,131700,132700,134300,136100,137800,139300,140300,141000,141600,142200,142800,144000,145600,147700,149600,151300,152700,154400,156100,157900,160400,163300,165800,168400,171500,174500,176500,177700,178400,179000,179800,180200,180500,181600,183700,185800,187900,189800,191900,194700,197400,199500,201500,203900,206500,208900,211200,214000,217500,220700,222900,224100,225400,227000,229900,234000,237400,239600,241000,240600,239400,238700,238400,238000,237900,237900,238000,238500,238600,237900,236700,235200,233400,232300,231900,231500,231200,230800,229800,228100,226400,223700,220600,218100,215300,211600,208300,205300,202200,199300,196600,194300,192500,190400,187800,184800,181400,177300,172900,169100,166500,165600,163300,158700,154100,151700,151100,151100,150400,149000,147200,145600,144200,142100,140000,138500,137900,136900,134000,130500,128500,127400,127100,127400,126600,124000,122200,121300,119700,117800,116800,116300,116000,116600,117000,117100,117100,117500,118200,119500,120900,122000,122500,123200,123700,124400,125500,126500,127300,128900,129900,130400,131200,132300,133400,135000,135700,135900,136500,137600,138100,137700,138400,139600,139900,140200,142100,144800,147100,148900,150900,152500,153800,155700,156400,155800,155900,157200,158500,158900,161300,164200,164400,162100,161400,161700,163200,164300,164700,165100,166700,167600,167200,166900,167300,167800
60623,79500,79100,79500,80100,80300,80500,80700,81200,82300,83500,84200,84900,85600,86000,85900,85900,86000,85800,85900,86900,87700,88100,88600,88900,88700,88500,88800,89300,89700,90200,91000,91500,91300,91100,91300,92000,93400,94800,95900,96500,97200,97900,98600,98700,98500,98200,98600,99600,101100,102700,104200,105300,106200,107300,108800,110300,111700,113100,114200,115300,116300,117100,118000,119300,120300,120700,120900,121500,122800,124100,125300,126300,127100,127700,128200,129400,131200,132400,132900,133900,135600,137600,139800,142300,144800,147500,149900,150700,150000,150100,151500,152800,153800,154900,155300,154800,154900,155800,157100,158500,160800,163300,165400,166900,168000,168500,169100,170700,173200,175200,176800,178700,180600,182800,184900,187300,188900,191000,193800,196700,197000,196000,195700,196700,198200,199200,199500,199300,198700,198100,197800,197700,197100,196400,195200,194300,194300,194400,193700,192900,190900,188300,187000,186000,185000,184400,183800,182800,182000,180800,178900,176200,174200,173900,173200,171100,167600,163200,159100,156000,153100,150500,149200,148600,150900,153200,152400,149700,150000,150800,149600,146400,142400,139000,137600,137800,137500,135500,133700,132500,130100,126300,123500,122000,121800,121900,120400,117500,114700,112800,111400,110400,110300,111000,111400,111000,110600,110300,110300,110000,109100,108000,107300,107000,107300,108700,110300,112000,113600,115000,115500,116200,117200,118100,119000,120800,122400,124600,125900,126000,125400,126600,127800,128100,126800,125900,126200,126700,126900,127600,128300,129300,130900,132200,132900,133500,133900,133100,132000,131600,131300,130600,136000,144700,147200,142700,140400,140300,140700,141500,143100,144300,144400,144600,142900,140400,140000,140900
60201,189200,191000,191100,191300,191300,191400,192700,195500,198100,200000,200900,201400,202400,202800,201900,199800,198300,198400,199300,199800,200700,202600,204800,206400,207100,207600,207600,207200,206800,207500,209700,213200,216800,219900,222700,224900,226800,227800,228800,231100,233800,234400,233500,234000,235900,237800,239800,242300,244600,247900,253300,259400,264400,268800,272800,274100,273600,273700,275500,277400,279700,281900,284200,287200,290000,292700,294700,297500,300200,302500,304300,306800,309000,311200,314300,316700,319100,322400,326100,330000,333900,336500,338000,340900,344800,349100,353500,357200,358500,357500,354300,350000,347700,348000,350400,352300,353200,353900,354600,356400,361100,366500,371400,376700,382500,387300,390300,391100,390800,390800,391100,392100,393600,395100,396400,397100,396200,396200,397200,398700,401900,406700,410900,413100,413500,414200,417800,421600,423300,424200,425000,424500,421800,417400,412500,409800,408300,407300,407000,406600,406400,407300,407100,404300,402800,401800,398200,393200,389200,384300,379100,375300,373100,370800,368400,365600,362800,360000,357300,354500,352900,352200,350400,348600,345000,338100,329900,324900,322800,323300,324400,324800,322800,319100,314900,311800,310300,309800,311800,314100,313100,309200,306200,303100,300800,301900,304200,302400,300200,303300,306600,306900,304800,305000,308100,312100,313600,315000,316100,319000,322500,324600,325500,330200,337400,340800,342900,344400,345700,344600,346000,348900,353700,355000,357600,359300,359100,357000,357700,362000,366500,366800,365200,366300,366400,364600,362200,362300,364900,369300,371100,369900,368100,367000,366900,367900,367900,365600,363700,363700,364600,367000,365700,363100,367200,377100,383300,382400,380200,381800,384400,385900,388800,390800,391000,391200,390900,390000
60010,339300,338800,337200,334900,333900,333600,332500,331100,329500,328400,328600,329000,328800,328400,328900,330500,331700,332200,332800,333600,334000,334300,335200,337000,338000,337000,336500,338300,340700,342200,344100,346600,349900,352900,355100,357100,359500,361500,363100,364500,366300,368500,370300,372100,374900,377300,379000,380800,382700,384500,387100,390300,393700,397000,400500,404400,407800,411100,414100,416100,417300,420100,423600,425200,425100,425800,426900,428200,429400,430700,433100,436500,439700,442800,446100,448400,449800,451000,452200,453800,455800,457600,459500,462100,464900,467800,470800,473600,476600,480500,484600,487700,490500,493200,495700,497900,500300,503700,506800,509700,513900,518600,522200,525600,528100,530800,533300,536100,539800,543300,546100,548900,551100,552500,556000,560400,565100,569500,573500,577200,582000,585500,587100,588400,589600,589000,588000,588200,587700,586900,588100,590100,589600,587300,585100,584200,583600,583100,581900,579800,576400,571600,566700,562300,556900,552300,549000,543600,537700,533400,529800,525000,522000,521700,521300,518500,515400,511700,507200,504200,502900,501900,499900,496100,494600,496100,495400,490300,483600,476900,472300,470700,470600,470300,467500,463800,460500,455400,449400,447600,448600,447300,443300,438500,433900,429900,428200,427600,425100,421700,419400,417600,418100,421500,426000,430100,432900,432700,432300,434300,436800,437600,439700,443000,447200,454500,463700,470600,474100,475800,478500,481500,484000,487500,489300,488400,488200,488800,488600,488400,489400,490300,489700,488000,485600,483900,483800,485700,486800,486400,485600,484900,484200,484300,485900,489000,491900,492500,492900,495800,497000,495000,489700,484700,483000,485200,486800,488000,488900,489700,490800,490700,487900,486700,488700,489700,488500,487700
60609,83400,83500,83300,82400,81000,80100,80000,80300,81100,81800,82200,82100,81800,81200,80800,80600,80900,81700,82700,83600,84300,85500,87000,87500,87600,88200,88800,89300,90100,90700,91200,92200,92900,93100,92900,93400,94200,94800,95100,95500,96300,96300,95500,94800,95000,95600,96400,97200,98000,98700,99000,99800,101300,103300,105100,106900,107900,108400,108600,109000,109100,109400,110000,111100,112100,113000,114200,115300,116900,118900,121000,123000,124700,126000,128100,130200,130900,130500,130900,131900,132900,134000,136400,139600,142000,144000,146200,148200,150200,152000,152200,151500,151000,150400,148700,147900,149900,153400,155000,156000,158600,161700,163200,162800,162800,163900,165300,166100,166800,168100,170100,171700,172500,172400,174000,178700,183500,186500,188800,190200,189900,188600,187800,187700,187600,188500,190100,191100,191300,192100,193000,193200,192500,191900,191400,191000,190400,190800,192100,192100,190200,188500,187300,186400,186400,186900,187400,187200,186200,184300,182100,179500,179900,181900,182600,183100,183400,180300,175500,172100,169600,167500,166100,166500,163200,157200,153400,152700,152700,152700,150900,148100,146600,145000,143000,139900,137300,135700,135900,135600,132300,127900,125300,123000,120700,119700,118300,116500,116700,117300,116300,113600,111100,110400,111600,111800,111000,110700,112100,114100,115900,117300,117600,116400,115900,118500,122900,127300,129800,130100,128000,125800,124900,124900,125200,126300,126500,124300,121800,120700,120400,120100,120000,120500,120000,119100,117900,117900,119900,122500,122800,123700,126300,129200,131500,133200,133300,131700,129700,128900,129400,128700,129300,131400,131900,130300,129600,129200,129800,131200,132900,133400,135600,139500,140800,139200,139100,140100
60645,125200,124900,123800,122600,121600,121000,121000,121500,122300,123200,123800,124200,125000,126100,126600,126700,126800,127400,127900,127800,128200,129700,131100,131500,131700,131600,131100,130700,131100,131800,132200,132500,132000,131700,132000,132800,133300,134000,135300,137100,137600,137400,138400,140200,141900,143900,146200,148200,151400,154900,157600,159400,161100,162600,164600,166500,168500,169900,171300,172800,174200,176300,179100,181500,183400,185000,186500,188400,190300,192400,193900,195000,195700,196300,196600,198600,202000,205000,206200,207700,208900,208600,207900,208100,208400,210000,213800,217900,220900,222900,223500,223900,225300,227400,229100,230000,230600,231100,230800,229900,230500,232700,235600,238800,242100,245100,247600,249800,251400,251600,251900,253100,254400,256400,259600,261200,260900,261800,264200,266400,267500,268200,269200,268700,266800,264600,262700,260800,260500,261600,262300,262500,263800,265200,265200,265200,264800,264300,264100,263600,262300,261700,260700,258500,256600,253900,250500,246500,243700,241400,239500,236300,233900,233100,232600,229600,225300,221500,219200,218200,217700,217300,215500,213100,206600,196900,189900,187000,184200,181900,180400,178500,176300,174200,171900,169900,170200,171700,171400,168300,164300,161000,158200,155500,153400,151100,147800,146600,147100,146800,145400,145500,147100,148700,148800,146800,144300,142500,141200,140000,138500,137400,137700,139100,140600,142100,144100,147200,148300,146600,145400,146100,146700,146800,147500,148900,148500,146200,144800,146100,148400,151100,154200,157000,158800,159800,159700,161400,166300,170400,172200,172800,172400,172700,174900,176400,176800,177500,178200,178200,178500,179300,179400,177600,177100,178900,180800,181000,181400,182700,182900,180300,178400,179200,180800,181900,184300,187100
60462,176500,177300,178100,178000,177400,176700,175800,175500,175400,175600,175500,175300,175100,175400,175300,175300,175200,175500,176100,176500,176500,177400,179200,180400,180400,180100,180400,180700,180700,181000,181400,181400,181500,181800,182400,183100,183600,183300,182800,183100,184400,185700,187000,188100,189300,190600,191900,192700,193500,194200,194300,193700,193800,194600,195800,197500,199100,199800,200000,200400,201200,201800,201700,201500,202000,203200,204900,206600,207700,208400,209100,210200,211300,212200,213500,215400,217500,219700,221900,224500,227800,230600,233000,236000,239000,241900,245000,247300,248200,248100,247100,246400,247000,248800,251000,253000,254600,255700,257000,259400,261900,263900,266000,268300,269900,270800,271300,272400,274500,276700,279100,281600,283600,285200,287100,288900,290300,291800,294200,296900,299100,301700,304600,306500,308100,309400,310100,309900,309200,309200,309200,307800,306300,306300,306500,306200,305500,304000,301600,299000,295800,292200,289500,287200,284300,280900,278300,276500,275900,275500,274100,271500,269100,266300,261600,256400,252200,248000,244200,241300,238900,237600,239100,240900,243100,245100,245000,243000,242200,241900,240500,238600,236500,235200,233600,231400,228800,228200,229700,230300,228700,227900,227100,225400,224100,223300,221700,220900,220400,219700,219700,221300,223000,223300,223500,223500,222700,220700,218600,218200,218800,219000,218600,219300,220800,222500,224600,227000,228200,228000,227400,226900,226600,226400,226800,227300,227300,226800,226900,227500,228200,229000,230200,230900,231200,231100,230600,231200,233300,235500,237000,238400,239800,240700,241800,242900,242700,242300,243000,244600,246200,247600,247100,245800,246300,248200,249600,250300,251100,251900,252500,252200,252000,252000,252300,252500,252900,253500
60067,198200,198200,198900,199400,200300,201300,202400,202300,201200,201200,201900,201900,201900,201300,199000,196800,195400,194700,194600,195000,195900,196800,197500,199300,201800,203800,204100,202900,201200,200600,202000,204300,205400,205700,206900,208100,208100,208200,208900,210200,212800,215900,218600,221700,225400,228500,230400,231400,233100,235100,236400,237200,238300,238900,238900,239200,240200,240700,241500,244100,247600,250800,253900,256800,259200,262100,265700,268900,271500,274500,276500,277100,277200,276800,276600,278000,280400,283500,286700,288700,289400,290600,293800,298200,301400,306300,313100,318000,319600,319200,316200,313000,311300,311000,311500,312500,314100,315400,317400,320900,324700,326700,328000,330500,335800,342000,345900,347800,349400,351300,353200,355200,357100,359700,363700,366700,367100,366600,365800,365500,366800,368100,368300,368800,369800,370400,370800,371900,372400,371900,372000,374500,376500,377500,377700,376100,374200,373800,372800,371400,370800,370100,369300,367300,362300,355800,349600,344400,340600,337700,334900,332700,331200,329700,326400,321900,317600,313500,309300,306100,303900,302200,301800,301700,300300,299100,298600,296000,293000,290700,288800,286800,285800,283600,281100,278200,275900,273800,271700,269300,267700,266600,265800,265200,263300,261200,259300,256800,253900,251200,248800,247500,247500,248600,250700,251500,251000,250600,251200,252200,254000,255100,256300,257700,261900,267500,272100,274600,277000,279500,280700,282000,283500,285000,286500,289300,290000,288900,288600,290300,291600,292800,294600,294700,292100,290400,291400,294200,295400,295200,295500,297600,299500,300500,300300,300500,300900,300500,300100,301900,304900,306800,305600,303000,301800,301900,302000,303300,305900,309400,311900,312500,312100,311800,311900,312100,312400,312700
60651,88500,87200,85900,84600,83500,82800,83000,83500,83900,83900,84300,85200,86100,86300,86300,86300,86500,86500,86500,86600,87300,88000,88200,88400,89100,89600,89300,88900,88900,88800,89700,90600,91300,92300,93600,94100,94400,95000,95900,96800,97800,99200,100400,101500,102500,103400,104400,105800,106800,107500,108200,109200,110200,110900,110700,110800,111400,112300,113700,115600,118000,120800,123900,126900,128900,129800,130000,129900,129700,129800,129400,129400,130600,132600,134200,135400,136900,138800,140900,142800,143500,144000,144900,145500,145500,146000,147400,148600,149700,151300,152400,153400,154700,156200,157500,158400,158800,159600,160900,161900,163100,164600,166200,168500,172600,176900,180200,182800,185000,186100,187400,190100,192800,195000,197100,199500,201400,203100,205200,207700,209800,211500,212900,213900,214300,214800,216400,218800,219600,219100,219100,220300,221000,219800,217600,216900,216900,216300,215100,214500,212800,210100,207700,205700,204500,204300,203600,201900,200600,199400,196300,192400,189600,188300,187700,187000,184700,181300,176700,171800,167800,165200,164000,162900,162100,161300,158300,153700,151300,150000,149200,147400,144500,142000,141100,139800,137900,136200,135900,135200,132600,129400,127900,126900,126500,126100,124700,121800,119800,118100,115600,113500,113900,115100,115800,116800,117500,117400,117400,117700,118100,118900,119700,120000,120100,121300,122300,122700,122900,124200,125700,127800,128900,129000,129400,130200,130100,131900,135100,138100,140300,140700,139000,136900,135600,134700,134500,136200,138300,138400,138600,139600,140000,139900,140300,141000,141800,143300,145700,149300,153200,154600,153000,151200,150100,149700,151200,154400,157300,159400,160700,160800,159300,157800,157500,159500,162500,164800
60193,147400,146800,146300,146500,146800,146900,146900,147400,148200,150300,152800,153600,152800,152700,152500,152000,151800,152300,153200,153700,153800,154200,154900,155300,155400,155700,155800,155900,156000,156300,156700,157500,157800,158100,158900,159800,161000,162000,162300,162400,162700,163400,164100,165200,167100,169000,170400,171800,173500,174500,174900,175400,176800,178600,180300,182100,183700,184700,185700,187800,190000,191900,193500,194700,196100,198500,200700,202000,203200,204600,205400,206100,206900,207400,208200,210200,212000,213600,216100,219000,220900,221900,223400,225200,227700,232900,240100,245300,247700,246700,243100,240300,239700,239800,240300,241600,243100,243700,244100,245200,246300,248000,250500,253200,256500,259900,261800,263100,265000,267200,268900,270700,272700,275000,276700,278000,279300,281000,282700,283400,282900,282200,282700,284900,287700,289300,291000,291700,290100,288500,288300,287800,286600,285000,282100,278100,274400,273400,273900,274200,273900,273900,273600,272500,270900,268100,263800,259200,255700,252800,249900,247200,245000,242400,239300,236200,233100,230100,226900,224100,221800,220800,221200,221200,218800,215700,213600,212000,210800,210400,209800,207700,205500,202700,198800,195200,194300,194300,193700,192200,190500,188200,186100,185000,184200,182400,179900,178500,177600,176000,173500,172300,171800,171400,171600,173500,175500,177200,178700,179700,179600,179400,180500,181900,182400,183700,188200,192800,195400,197100,198300,199700,201900,204500,206800,208500,210300,213100,215500,216700,217800,218000,217300,216100,214600,213100,212300,213500,216200,218200,218400,218000,218100,218600,218700,218700,219400,221000,223300,226100,229200,231100,232000,232400,232500,233000,234700,237300,240600,243600,245000,244800,244400,244300,243000,240800,239400,238900
60062,293200,294000,296100,296000,294600,294200,294400,293500,291900,291200,291000,290600,289900,289600,289200,288700,289300,291000,293000,293900,295500,297800,299500,300300,300900,300400,299900,302300,306400,309100,311000,312800,314300,315700,317800,319400,321400,323600,325200,325700,326900,329900,334000,337400,340100,342700,345600,349300,352500,355000,356900,358000,358700,360300,362400,366000,370700,375300,379800,384500,387700,389500,391600,394300,396500,398200,400800,404700,407600,409500,411600,413600,414600,415300,415500,417900,423500,429000,432200,436100,440800,444500,446500,449100,453000,460000,468900,475700,476600,475600,474900,473900,472000,471100,472800,477100,483200,488200,489900,489700,490500,492800,496500,500800,506500,513300,518900,522000,525200,529200,536000,545900,554200,557800,559600,561900,564700,566200,566300,568100,570200,569100,568000,569000,569800,570300,573200,577000,578500,578600,579400,578300,574000,569500,565000,559900,556600,555300,552700,547100,538800,531400,526200,520900,516000,512000,505400,496700,493100,493200,491200,485200,481200,479100,476000,470300,464700,460700,458400,456000,453100,450800,449100,446200,444200,442500,438700,433400,430900,431000,431000,428500,423300,417400,412400,410500,410000,410200,410800,409100,403400,398400,393600,389700,385700,382200,378800,377400,376400,375600,374600,377000,380600,382000,383900,387300,390500,391200,392100,393900,397500,400500,404600,410000,415600,421000,428700,436800,442400,446800,452800,457100,456500,454100,455000,457900,460200,461800,461700,461800,463200,466200,469600,473000,474000,472300,470600,473600,479100,481000,482100,485900,489200,488400,484000,480100,479800,481500,481400,480200,479300,478800,478700,479300,478800,478200,479100,481300,483500,484600,485000,485600,487600,489400,487100,483200,484000,486900
60477,143800,143800,143300,142400,141300,140300,140100,140300,140500,140800,141200,141300,141100,140700,140300,139900,139900,140300,140900,141200,141100,141100,141000,140400,140000,140300,141000,142000,142700,143100,143600,144300,144800,145100,145600,146300,146700,146600,145700,144500,144100,144700,145500,146300,146800,147400,148100,148900,149500,149800,149800,149900,150300,150800,151300,152400,154000,155600,157300,158800,159900,161000,162100,163100,164100,165200,166300,166800,166700,167100,168000,168800,168900,168900,169400,170200,170800,171700,173400,175400,177400,179000,180400,181600,183200,186600,192000,197000,200400,201600,200500,199100,198400,198600,199600,201300,203200,204100,204500,205200,205700,206100,207500,209400,212000,214600,216000,216700,218800,220700,221700,222700,224400,226500,229100,231700,233800,235300,236600,237700,238200,238400,238700,239600,241300,242700,243200,242800,241900,241300,241600,242500,242800,242900,242100,241000,240100,239400,238700,238300,237400,235200,232600,229600,227200,225900,223800,221000,218900,217200,214900,212500,210500,208300,205800,203700,202000,199400,196700,195000,194000,194200,195200,195600,196300,197700,197500,196100,195200,194800,194100,192600,190600,188400,185500,182200,179200,177700,177900,177500,175100,172100,170600,169900,168500,166200,164400,163600,162700,161300,160800,161300,161600,162500,164000,165000,164800,164700,165400,166500,167600,167700,167300,167200,168300,170100,172100,173400,174300,174800,175200,175600,175700,176400,177800,178100,176500,174900,174000,174600,175900,176900,177900,178500,178000,177000,176300,176700,178500,180300,181100,181600,181800,181900,181900,181800,182100,181900,181300,181600,183600,185300,184400,182700,182400,182700,183200,184500,186000,187500,188500,188500,188000,187500,187900,188100,188600,189500
